Category,Name,Price,Url
Điện thoại di động,"điện thoại OPPO F9 Pro 2sim Fullbox ram 6G/128G, mới Chính Hãng",2399000,https://shopee.vn/điện-thoại-OPPO-F9-Pro-2sim-Fullbox-ram-6G-128G-mới-Chính-Hãng-i.210121591.4954173600
Điện thoại di động,"Điện thoại SONY XPERIA XZ1 64G/ ram 4G mới 99%, Chiến PUBG/Liên Quân mượt",1549000,https://shopee.vn/Điện-thoại-SONY-XPERIA-XZ1-64G-ram-4G-mới-99-Chiến-PUBG-Liên-Quân-mượt-i.210121591.6654173081
Điện thoại di động,"điện thoại Xiaomi Redmi 4a 2sim ram 2G/16G, có Tiếng Việt, Chơi Liên Quân mượt",1030000,https://shopee.vn/điện-thoại-Xiaomi-Redmi-4a-2sim-ram-2G-16G-có-Tiếng-Việt-Chơi-Liên-Quân-mượt-i.210121591.4154178096
Điện thoại di động,"điện thoại Google Pixel 3 XL ram 4G/128G mới 2sim (1 nano Sim, 1 esim) Chính hãng, CPU Snapdragon 845 8nhân",5499000,https://shopee.vn/điện-thoại-Google-Pixel-3-XL-ram-4G-128G-mới-2sim-(1-nano-Sim-1-esim)-Chính-hãng-CPU-Snapdragon-845-8nhân-i.210121591.5354177867
Điện thoại di động,[Mã ELMALLCOIN hoàn 5% xu đơn 500K] Điện Thoại Vsmart Joy 3 2GB/32GB - Hàng Chính Hãng,1985000,https://shopee.vn/-Mã-ELMALLCOIN-hoàn-5-xu-đơn-500K-Điện-Thoại-Vsmart-Joy-3-2GB-32GB-Hàng-Chính-Hãng-i.193124085.3217257878
Điện thoại di động,Điện thoại iPhone 7 Plus Quốc tế 128GB Mới 99% Bảo Hành 12 Tháng,4490000,https://shopee.vn/Điện-thoại-iPhone-7-Plus-Quốc-tế-128GB-Mới-99-Bảo-Hành-12-Tháng-i.182375752.2894358165
Điện thoại di động,"điện thoại Samsung Galaxy Note 4 Edge ram 3G/32G mới Chính hãng, Chiến game PUBG/Free Fire mượt",1999000,https://shopee.vn/điện-thoại-Samsung-Galaxy-Note-4-Edge-ram-3G-32G-mới-Chính-hãng-Chiến-game-PUBG-Free-Fire-mượt-i.210121591.5263613251
Điện thoại di động,"điện thoại Google Pixel 3 XL ram 4G/128G mới Chính Hãng, chạy Chip Snapdragon 845 8 nhân siêu mạnh",4499000,https://shopee.vn/điện-thoại-Google-Pixel-3-XL-ram-4G-128G-mới-Chính-Hãng-chạy-Chip-Snapdragon-845-8-nhân-siêu-mạnh-i.210121591.6263641486
Điện thoại di động,"điện thoại Samsung J6 - Samsung Galaxy J6 2018 2sim (3GB/32GB) Chính hãng mới, Chiến Game mượt",1499000,https://shopee.vn/điện-thoại-Samsung-J6-Samsung-Galaxy-J6-2018-2sim-(3GB-32GB)-Chính-hãng-mới-Chiến-Game-mượt-i.210121591.3663669578
Điện thoại di động,điện thoại Oppo Neo 9 (Oppo A37) 2sim ram 2G bộ nhớ 32G CHÍNH HÃNG - camera siêu nét,1090000,https://shopee.vn/điện-thoại-Oppo-Neo-9-(Oppo-A37)-2sim-ram-2G-bộ-nhớ-32G-CHÍNH-HÃNG-camera-siêu-nét-i.210121591.3954272718
